,Financial Institution Number,Institution Name,Institution Type,Charter Type,Headquarters,Failure Date,Insurance Fund,Certificate Number,Transaction Type,Total Deposits,Total Assets,Estimated Loss (2015)
2039,7162.0,GEM CITY FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,QUINCY,1/18/1990 ,RTC,28830.0,ACQUISITION,232928,290392.0,11556.0
2040,7230.0,FRONTIER FEDERAL SAVINGS BANK,SAVINGS ASSOCIATION,FEDERAL/STATE,BELLEVILLE,1/18/1990 ,RTC,27765.0,ACQUISITION,47565,45338.0,278.0
2041,7082.0,FIRST FED. SAVINGS ASSOC. OF YORK,SAVINGS ASSOCIATION,FEDERAL/STATE,YORK,1/18/1990 ,RTC,30855.0,ACQUISITION,54885,59744.0,2846.0
2042,7125.0,COLONIAL FEDERAL SAVINGS ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,PRAIRIE VILLAGE,1/18/1990 ,RTC,31213.0,ACQUISITION,102389,136400.0,16641.0
2043,7194.0,EMPIRE OF AMERICA FSB,SAVINGS BANK,STATE,BUFFALO,1/24/1990 ,RTC,30321.0,ACQUISITION,8025454,8173572.0,1243168.0
2044,4142.0,"FARMERS STATE BANK OF SHIRO, TEXAS",COMMERCIAL BANK,STATE,SHIRO,1/25/1990 ,BIF,1215.0,ACQUISITION,4399,4601.0,2118.0
2045,7178.0,WILLIAMSBURG FS & LA,SAVINGS BANK,STATE,SALT LAKE CITY,1/26/1990 ,RTC,31710.0,ACQUISITION,257666,310520.0,31128.0
2046,4144.0,"MONROE SAVINGS BANK, FSB",SAVINGS BANK,STATE,ROCHESTER,1/26/1990 ,BIF,16036.0,ACQUISITION,488802,520587.0,25746.0
2047,4145.0,CREDITBANK,COMMERCIAL BANK,STATE,CUTLER RIDGE,1/26/1990 ,BIF,19273.0,ACQUISITION,74090,76437.0,15744.0
2048,7290.0,PALO DURO FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,AMARILLO,1/26/1990 ,RTC,32089.0,ACQUISITION,41818,64983.0,12600.0
2049,7216.0,COLONIAL S & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,CAPE GIRARDEAU,1/26/1990 ,RTC,30309.0,ACQUISITION,157400,170860.0,7976.0
2050,7205.0,UVALDE FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,UVALDE,1/26/1990 ,RTC,32003.0,PAYOUT,14318,13262.0,6085.0
2051,4146.0,"FIDELITY BANK, NATIONAL ASSOCIATION",COMMERCIAL BANK,FEDERAL,SAN ANTONIO,1/26/1990 ,BIF,24937.0,TRANSFER,35817,36625.0,5092.0
2052,4143.0,"BANCTEXAS DALLAS, N.A.",COMMERCIAL BANK,FEDERAL,DALLAS,1/26/1990 ,BIF,3164.0,ACQUISITION,338207,340938.0,64630.0
2053,7183.0,FIRST SAVINGS ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,BISMARK,1/26/1990 ,RTC,28929.0,TRANSFER,100539,113384.0,16720.0
2054,7215.0,GRAND PRAIRIE FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,STUTTGART,1/26/1990 ,RTC,31991.0,PAYOUT,24780,31465.0,14175.0
2055,7201.0,MERABANK FSB,SAVINGS BANK,STATE,PHOENIX,1/31/1990 ,RTC,31400.0,ACQUISITION,4803146,6317579.0,671485.0
2056,4147.0,TYLER NATIONAL BANK,COMMERCIAL BANK,FEDERAL,TYLER,2/1/1990 ,BIF,24393.0,ACQUISITION,26103,24708.0,6892.0
2057,4148.0,CITIZENS NATIONAL BANK OF WALNUT RIDGE,COMMERCIAL BANK,FEDERAL,WALNUT RIDGE,2/2/1990 ,BIF,16816.0,ACQUISITION,34098,37524.0,6321.0
2058,7279.0,"PIONEER SAVINGS BANK, FSB",SAVINGS ASSOCIATION,FEDERAL/STATE,CLEARWATER,2/2/1990 ,RTC,30803.0,ACQUISITION,1424005,1935739.0,217193.0
2059,4149.0,COMMERCE BANK OF TAMPA,COMMERCIAL BANK,STATE,TAMPA,2/2/1990 ,BIF,26429.0,ACQUISITION,22270,21631.0,4018.0
